H10,H11,H1,H3,H4,H5,H6,H7,H8,H9,MP,N1,N2,N3,N4,N5,N6,N7,N8,N9,NP,NS,PA,PB1,PB2
,,,,,EPI_ISL_698011|1834551|H5N6|2.3.4.4h|HA|2018-06-22|Asia/China|duck|duck|Domestic,,,,,,,EPI_ISL_70428|244165|H9N2|na|NA|2006-02-17|Asia/Korea_Republicof|chicken|chicken|Domestic,,,,EPI_ISL_697907|1833249|H5N6|2.3.4.4h|NA|2019-01-26|Asia/China|chicken|chicken|Domestic,,,,,,,,
,,,,,EPI_ISL_698004|1835503|H5N6|2.3.4.4h|HA|2018-06-21|Asia/China|duck|duck|Domestic,,,,,,,EPI_ISL_70434|244171|H9N2|na|NA|2007-01-16|Asia/Korea_Republicof|chicken|chicken|Domestic,,,,EPI_ISL_698013|1828025|H5N6|2.3.4.4h|NA|2018-07-26|Asia/China|chicken|chicken|Domestic,,,,,,,,
,,,,,EPI_ISL_697885|1827839|H5N6|2.3.4.4h|HA|2018-03-07|Asia/China|chicken|chicken|Domestic,,,,,,,EPI_ISL_70429|244166|H9N2|na|NA|2006-04-27|Asia/Korea_Republicof|chicken|chicken|Domestic,,,,EPI_ISL_698171|1827665|H5N6|NA|NA|2018-07-26|Asia/China|chicken|chicken|Domestic,,,,,,,,
,,,,,EPI_ISL_344530|1381405|H5N1|2.2.1.2|HA|2017-03-20|Africa/Egypt|chicken|chicken|Domestic,,,,,,,,,,,EPI_ISL_698002|1828833|H5N6|2.3.4.4h|NA|2018-04-25|Asia/China|chicken|chicken|Domestic,,,,,,,,
,,,,,EPI_ISL_697905|1833295|H5N2|2.3.4.4h|HA|2019-01-26|Asia/China|chicken|chicken|Domestic,,,,,,,,,,,EPI_ISL_697835|1833353|H5N6|2.3.4.4h|NA|2018-12-26|Asia/China|chicken|chicken|Domestic,,,,,,,,
,,,,,EPI_ISL_697835|1833351|H5N6|2.3.4.4h|HA|2018-12-26|Asia/China|chicken|chicken|Domestic,,,,,,,,,,,EPI_ISL_697985|1826097|H5N6|2.3.4.4h|NA|2018-09-24|Asia/China|chicken|chicken|Domestic,,,,,,,,
,,,,,EPI_ISL_697891|1825367|H5N6|2.3.4.4h|HA|2018-09-29|Asia/China|chicken|chicken|Domestic,,,,,,,,,,,EPI_ISL_697904|1833289|H5N6|2.3.4.4h|NA|2019-01-26|Asia/China|chicken|chicken|Domestic,,,,,,,,
,,,,,EPI_ISL_698171|1827663|H5N6|NA|HA|2018-07-26|Asia/China|chicken|chicken|Domestic,,,,,,,,,,,EPI_ISL_697837|1834401|H5N6|2.3.4.4e|NA|2017-01-01|Asia/China|duck|duck|Domestic,,,,,,,,
,,,,,EPI_ISL_344529|1381435|H5N1|NA|HA|2017-03-18|Africa/Egypt|duck|duck|Domestic,,,,,,,,,,,EPI_ISL_698008|1835225|H5N6|2.3.4.4h|NA|2018-12-17|Asia/China|duck|duck|Domestic,,,,,,,,
,,,,,EPI_ISL_697904|1833287|H5N6|2.3.4.4h|HA|2019-01-26|Asia/China|chicken|chicken|Domestic,,,,,,,,,,,EPI_ISL_698170|1833209|H5N6|NA|NA|2019-01-26|Asia/China|chicken|chicken|Domestic,,,,,,,,
